species,active_pokedex,height,pokemonScale,pokemonOffset,trainerScale,trainerOffset,red_height_ratio,red_baseline_gap_px,leaf_height_ratio,leaf_baseline_gap_px,issues
SYLVEON,True,10,256,0,256,-2,0.982,-1.0,0.982,-1.0,default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
FARFETCHD_GALARIAN,True,8,256,0,256,-2,1.018,-3.0,1.018,-3.0,placeholder question-mark sprite; default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
TYNAMO,True,2,256,0,256,-2,0.309,-20.0,0.309,-20.0,default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
EELEKTRIK,True,12,256,0,256,-2,1.145,3.0,1.145,3.0,default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
EELEKTROSS,True,21,256,0,256,-2,0.891,1.0,0.891,1.0,default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
RATTATA_ALOLAN,True,3,256,0,256,-2,1.018,-3.0,1.018,-3.0,placeholder question-mark sprite; default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
RATICATE_ALOLAN,True,7,256,0,256,-2,1.018,-3.0,1.018,-3.0,placeholder question-mark sprite; default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
PICHU_ALOLAN,True,10,256,0,256,-2,1.018,-3.0,1.018,-3.0,placeholder question-mark sprite; default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
PIKACHU_ALOLAN,True,10,256,0,256,-2,1.018,-3.0,1.018,-3.0,placeholder question-mark sprite; default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
RAICHU_ALOLAN,True,7,256,0,256,-2,1.018,-3.0,1.018,-3.0,placeholder question-mark sprite; default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
SANDSHREW_ALOLAN,True,7,256,0,256,-2,1.018,-3.0,1.018,-3.0,placeholder question-mark sprite; default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
SANDSLASH_ALOLAN,True,12,256,0,256,-2,1.018,-3.0,1.018,-3.0,placeholder question-mark sprite; default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
DIGLETT_ALOLAN,True,2,256,0,256,-2,1.018,-3.0,1.018,-3.0,placeholder question-mark sprite; default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
DUGTRIO_ALOLAN,True,7,256,0,256,-2,1.018,-3.0,1.018,-3.0,placeholder question-mark sprite; default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
MEOWTH_ALOLAN,True,4,256,0,256,-2,1.018,-3.0,1.018,-3.0,placeholder question-mark sprite; default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
PERSIAN_ALOLAN,True,11,256,0,256,-2,1.018,-3.0,1.018,-3.0,placeholder question-mark sprite; default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
MEOWTH_GALARIAN,True,4,256,0,256,-2,1.018,-3.0,1.018,-3.0,placeholder question-mark sprite; default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
PERRSERKER,True,8,256,0,256,-2,1.018,-3.0,1.018,-3.0,placeholder question-mark sprite; default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
GEODUDE_ALOLAN,True,4,256,0,256,-2,1.018,-3.0,1.018,-3.0,placeholder question-mark sprite; default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
GRAVELER_ALOLAN,True,10,256,0,256,-2,1.018,-3.0,1.018,-3.0,placeholder question-mark sprite; default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
GOLEM_ALOLAN,True,17,256,0,256,-2,1.018,-3.0,1.018,-3.0,placeholder question-mark sprite; default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
GRIMER_ALOLAN,True,7,256,0,256,-2,1.018,-3.0,1.018,-3.0,placeholder question-mark sprite; default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
MUK_ALOLAN,True,10,256,0,256,-2,1.018,-3.0,1.018,-3.0,placeholder question-mark sprite; default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
VULPIX_ALOLAN,True,6,256,0,256,-2,1.018,-3.0,1.018,-3.0,placeholder question-mark sprite; default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
NINETALES_ALOLAN,True,11,256,0,256,-2,1.018,-3.0,1.018,-3.0,placeholder question-mark sprite; default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
EXEGGCUTE_ALOLAN,True,10,256,0,256,-2,1.018,-3.0,1.018,-3.0,placeholder question-mark sprite; default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
EXEGGUTOR_ALOLAN,True,109,256,0,256,-2,1.018,-3.0,1.018,-3.0,placeholder question-mark sprite; default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
CUBONE_ALOLAN,True,10,256,0,256,-2,1.018,-3.0,1.018,-3.0,placeholder question-mark sprite; default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
MAROWAK_ALOLAN,True,10,256,0,256,-2,1.018,-3.0,1.018,-3.0,placeholder question-mark sprite; default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
CORSOLA_GALARIAN,True,6,256,0,256,-2,1.018,-3.0,1.018,-3.0,placeholder question-mark sprite; default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
CURSOLA,True,10,256,0,256,-2,1.018,-3.0,1.018,-3.0,placeholder question-mark sprite; default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
KOFFING_GALARIAN,True,10,256,0,256,-2,1.018,-3.0,1.018,-3.0,placeholder question-mark sprite; default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
WEEZING_GALARIAN,True,30,256,0,256,-2,1.018,-3.0,1.018,-3.0,placeholder question-mark sprite; default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
KRICKETOT,True,3,465,15,256,-2,0.43,-2.4,0.43,-2.4,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
KRICKETUNE,True,10,305,1,256,-2,0.839,-4.5,0.839,-4.5,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
HAPPINY,True,6,356,17,256,-2,0.497,1.7,0.497,1.7,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
LICKILICKY,True,17,282,1,256,0,1.007,-1.9,1.007,-1.9,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
GALLADE,True,16,277,0,276,-1,1.159,1.8,1.159,1.8,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
